"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202411","1호선","동대문","590","18","11507","1945","9996","6511","16584","11007","21998","19645","21684","22600","19074","24639","19969","27822","24004","27805","25936","26784","28484","26633","29499","24895","30494","24445","29192","24138","24800","24307","18003","22357","16350","15417","14123","14482","10852","14426","5576","9536","869","2870","2","219","0","0","0","0","20241203"
"202411","1호선","동묘앞","180","1","2890","959","3755","5025","9119","9155","14269","21391","12364","19393","13115","24170","18899","32633","25149","35682","32043","40288","38225","34281","39988","28751","40403","20925","33623","14964","19743","12091","9542","9264","5827","6952","4808","6860","3185","6600","1307","4506","137","2065","1","272","0","0","0","0","20241203"
"202411","1호선","서울역","619","19","8411","8848","13670","58234","42622","113969","78886","238645","72030","167280","71474","88330","86344","80512","97653","91593","93173","94698","83086","85531","111905","90504","132902","92033","201177","101651","236216","104572","128174","73419","93352","50491","95845","46219","59877","30946","28943","14302","3414","3953","0","187","0","0","0","0","20241203"
"202411","1호선","시청","71","0","2029","5239","3818","27038","7955","73183","10875","193991","14245","103550","17332","54484","23105","51507","25119","44694","34727","46356","44471","41736","57639","38433","74088","36145","108920","36193","170428","30085","70641","14539","63841","9546","53215","8349","31871","6087","10576","3948","575","1036","2","17","0","0","0","0","20241203"
"202411","1호선","신설동","385","21","9307","2313","10188","9168","22551","25333","34146","55123","23436","34389","20746","22637","22311","20465","23688","19308","25281","21570","24949","19987","26653","21724","32198","23549","44203","25913","53672","32773","20167","23225","14420","16255","12192","15985","8603","13931","3820","9065","426","2683","1","7","0","0","0","0","20241203"
"202411","1호선","제기동","430","0","5622","2709","9341","10364","22679","21252","33535","38850","24113","33193","25807","38067","33074","47117","38959","48349","41908","51254","47170","47725","50858","39444","50513","35004","46101","28042","38398","27116","19590","18193","13109","12427","9142","11524","5505","9818","2482","5988","231","1617","6","0","0","0","0","0","20241203"
"202411","1호선","종각","162","3","4146","5554","4166","34695","7076","114088","11214","263411","14172","157833","20070","66554","30049","61233","35539","54232","43698","51530","55588","44103","70592","40995","90202","43663","164981","51785","220633","52013","102088","25190","84425","12930","86065","9946","61990","7457","27067","4877","1899","1276","1","11","0","0","0","0","20241203"
"202411","1호선","종로3가","167","7","3915","2937","3957","13153","6240","27149","10403","64513","15356","65085","21666","57374","30408","67080","43311","67407","49239","62452","59575","54587","71402","47915","78556","46811","92227","45417","94848","45738","58003","23762","50433","13220","52490","10372","40754","8163","18600","5449","1831","2320","2","39","0","0","0","0","20241203"
"202411","1호선","종로5가","72","1","1877","3749","3133","17221","6000","40113","10346","92658","14514","68957","23525","57632","34834","58959","42640","55527","50905","52179","59716","49165","64026","42107","71833","38984","91336","35866","94694","32041","48799","18613","35588","10823","32541","7472","18484","5721","5718","3541","383","1018","1","7","0","0","0","0","20241203"
"202411","1호선","청량리(서울시립대입구)","1080","22","10981","3235","19052","10854","50072","18082","60944","39960","39405","39595","33865","41439","42107","48693","46474","48393","49424","50737","52420","53094","56640","51053","58602","49991","54962","51792","44993","60622","26046","39851","21191","24793","16742","23535","11084","20055","4375","12046","358","3879","0","1","0","0","0","0","20241203"
